experiment,IRR_01,IRR_01,IRR_02,IRR_02,NOI_01,NOI_01,NOI_02,NOI_02
variable,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt,rsnt,rlnt
1901,240.42328525628486,239.95526137313811,240.3906139707719,240.23622476598504,240.6419988817796,240.1215475030387,240.67074546815834,239.97475093541524
1902,239.38965848129703,239.97897264339724,239.40032112509428,239.9641023585874,239.18327664659395,240.20733500739084,239.01430140912652,239.85670766002718
1903,240.33897365427973,239.55978109920375,240.0009024516902,239.52153453181484,240.40919227729597,239.59816229945,240.2030406544467,239.9252594222573
1904,240.74567002964156,240.2081144881347,240.7586724183562,240.1815248164104,241.18815211437132,240.41508322633103,240.88012289653847,240.29830119893967
1905,240.55311102549388,240.51412938100873,240.4283590384637,240.56343796421655,240.8646948801345,240.7487803032353,240.55389885972463,240.5790785577605
1906,240.26651933999136,239.86252463111816,240.4079544161059,239.8703796633701,240.73888632489934,240.05135950769818,240.27520203817403,239.79644250111306
1907,240.87361924481013,239.82970012285617,240.56252485115874,239.99756195952583,240.7992917713023,239.61764531871248,240.5615386003456,239.94241892707905
1908,240.54354539854174,240.05685688705591,240.80902055606316,240.09371619423666,240.52175063191018,239.95457051899925,240.4299039494068,240.30486119233052
1909,240.6576236944831,239.89777193298116,240.69785856663182,240.09579934741814,240.92982175329038,240.02242226985678,240.73534735323125,239.63946781350577
1910,240.79648095743394,239.76452743620513,241.01216823957594,239.65622012824608,240.81331091859136,239.86684891994852,240.90507135618006,239.6528622858135
1911,239.97252509578658,239.65241531352402,239.7016693508583,239.62046079896015,239.8832999617843,239.85842953612485,239.6440717568442,239.57927676896574
1912,240.3316932658023,239.87877902844335,240.36321077061856,239.7956667859239,240.43402325253828,239.53117015376995,240.34725515324783,239.6175994850493
1913,240.81436023388014,240.2126572990914,240.3620035542371,240.04812615617598,240.70325496190424,240.05756518935473,240.70143416353292,240.54286608097166
1914,240.8795020155926,240.47355183239884,240.69047877484317,240.6571946368363,240.66712346666736,240.43596185584263,240.88805803586374,240.6390121868874
1915,240.62385307459925,240.21060767771587,240.70146159610923,240.02712979917533,240.36497824270248,240.03685177443853,240.56343881044685,240.17593529043398
1916,240.68234111987763,239.60472344596442,241.07204931152592,239.8206386648722,241.2135632206198,239.6209516371114,240.87307803326857,239.69470205546807
1917,241.06622403906005,239.43408430087223,241.3401139893768,239.81103810808364,240.83019322343696,239.3610661756355,240.9240493475202,239.90363571074568
1918,240.8056878292699,240.06177511706642,240.98149457850988,239.93181241354625,240.64611733280196,240.35589591970552,241.16506429078632,240.15620218284846
1919,240.99695117219107,240.1736425790617,241.05463005831004,240.29455427914388,240.9908239056628,240.1622244283648,240.8772301588278,240.1847492593396
1920,240.82051028433386,240.1166498933849,241.02665062399305,240.2372422016172,240.811214366028,240.10990798134623,240.90381035636312,240.02924870118042
1921,240.47239070620338,240.03028912984624,240.38264100062023,239.96361413524878,240.39050847893694,239.63557986543236,240.43661656852402,240.06566027380975
1922,240.9595154132707,239.54790583311785,240.62976348168,239.97563165856565,240.8062788292976,239.89824528339153,240.71336171879693,239.92962775695554
1923,240.5587596628354,240.5562351436498,240.29468352550435,240.35269476472942,240.63377748124364,240.04079132314777,240.13272947332214,240.20954775222413
1924,240.9696415715484,240.11280922095534,241.00265208303287,239.83814243791738,240.89694715310662,240.08451774832054,240.95842432855594,239.87490653098726
1925,240.89036242730683,240.50720890264452,240.64137707136288,240.7032374061787,240.62820288172264,240.89142976332712,240.89931250033223,240.4710207394728
1926,240.61853802487198,240.49477554970255,240.82017174455012,240.20790803767406,240.95333764734124,240.3858280897755,240.6967024326019,240.27363454422687
1927,240.6331592669527,240.2171237465924,240.6069487192869,240.39151785464927,240.3928317136892,240.2125916670653,240.79551376992254,240.43276037551752
1928,240.72971108460754,239.91420437857525,240.18755945923897,240.2826606622032,240.69244762018917,240.29735438404646,240.33318067163083,240.19363422465713
1929,240.62559926276515,240.27353600780137,241.0593526988726,240.08142764919896,240.74602402685244,240.28195845986377,241.1559406976473,240.46058290830118
1930,240.62038104312154,240.38195855129695,240.4411250546853,240.491836058319,240.3259948280523,240.76217758975895,240.3541358340007,240.52534430427843
1931,240.93500034162108,240.00045422119788,240.8117353626489,240.01936618225642,240.64150354213965,240.11584562233463,240.7794990678553,240.173137414411
1932,240.8982669806313,240.1541186149335,240.8674284891558,240.22924310170467,240.63100627573152,240.13457691257247,240.83341659928004,240.18350284903244
1933,241.27064712905658,240.07419395160144,240.66170056881657,239.90733645316448,241.23401142989525,239.9969125950248,240.7432366473406,239.8329943228435
1934,241.0473084916041,240.27635871268632,240.6338449527721,240.1469542417412,240.63743762503944,240.10281256319104,240.68151482998564,240.11515559042232
1935,240.80937493987267,240.42531009963392,240.5541994927081,240.6181515371124,240.8734260405591,240.51809161586044,240.70807735402767,240.40841539421723
1936,240.86085694966374,240.61485921865622,241.2686789470831,240.71580355160333,240.8110489681475,240.64705951719802,241.07007091682968,240.6360067368915
1937,241.08687961598503,240.37103994926494,240.51770026454525,240.59226028913255,240.95509550401064,240.56627679712386,240.99625802479548,240.3719941799005
1938,241.08821412876898,240.4261330121514,241.0401009661507,240.55892421325302,240.95895388593232,240.39158456465412,241.2678710491555,240.39506082079723
1939,240.7306602240448,240.3961631873599,240.8145073304917,240.60847886056888,240.72295296504265,240.34311779721094,240.68358266299768,240.27458716281095
1940,240.82750859018887,240.70161116157612,240.47655525756542,240.45039849094013,240.72302113146088,240.91238977141617,240.71117854623964,240.69767018638086
1941,240.57086306971354,240.68508503828588,240.4402379099975,240.70290019568267,240.7145815195082,240.31176353472569,240.3814582965238,240.5608821005453
1942,240.54821168407463,240.36986920062475,241.05788352613618,240.10482206071197,240.91398523181226,240.43670321144626,241.00333685673507,240.63779991215526
1943,240.71301928206447,240.85151107290605,241.10444904961335,240.9601827293309,241.16156724935465,240.94303410567957,240.99423577746964,241.02838184427134
1944,240.82913288362974,240.72308784565243,241.00959832305017,241.05924199229793,240.9029645304893,241.10584348015578,241.10502784635636,240.86937206518908
1945,240.69960044174246,240.21461192253378,240.84142302775808,240.20947815359136,240.78059342719322,240.4926605078107,240.53015867877573,240.13044417796235
1946,240.85073419070955,240.32776669514539,241.1944501550849,240.1428296636804,241.18029531960232,240.29938118748413,241.02511503825147,240.12590194610283
1947,240.86525066936633,240.27982709492707,240.7035778154532,240.30951664489436,241.10814082573538,240.39757772894282,241.10094767059837,240.3492835071904
1948,241.2787927130189,239.99642321751585,241.16198227314317,240.33987719851652,241.2078004853609,240.35806087823903,241.24422193767202,240.5017275481819
1949,241.1585814288578,240.52656421852885,240.9012095916632,240.31501555038275,240.7796709713789,240.3333035099167,240.95420097814164,240.38727950947805
1950,240.94705831881697,240.23220114189192,240.93189129721236,240.2635658077562,240.98131769403687,239.98905272058528,241.02003679537128,240.4050216914822
1951,241.021287728988,240.68961525642536,241.0634525187391,240.67137731111012,240.9210964642807,240.781752544566,240.89478198404802,240.60433657309778
1952,241.08578306393753,240.82941145378632,240.77029947531588,240.49875230691643,240.90212546018506,240.67168156515424,240.7003511328513,240.41301608703176
1953,240.25632427043288,240.1268185720971,240.52366759169334,240.38728818766324,240.42830713021868,240.14300874929017,240.31077612122203,240.28723517384432
1954,240.60799936535867,239.88068406805397,240.654736680821,240.39138411973445,240.35419797682962,240.2581541657182,240.29689354175974,240.32763963900993
1955,240.4805222473478,240.08368454444627,240.57214829929944,239.84548223362262,240.34712462779245,239.9800552232955,240.72713645615727,240.15150476408482
1956,240.80058517065984,240.43395159997243,240.68999607987587,240.5547012160079,240.80129879293042,240.36368918078873,241.07277107084718,240.2836497515241
1957,240.57363188013085,240.81083044912552,240.5977174890068,240.61780462351078,240.6941071955943,240.64749920642467,240.66268366366972,240.92502829958977
1958,240.81628272566383,240.79007025504518,241.01219064498292,240.7182301845474,240.87404194859351,240.59609491287344,240.74067590555396,240.54581618841578
1959,240.6234486896771,240.26297879593182,240.95516402491077,240.4164515554775,240.4644766309293,240.52874313204876,240.791517510743,240.31079713517516
1960,240.73270806576687,240.29453246085083,240.49268373034013,240.354260611215,240.47329613245523,240.20877118596397,240.7054868416903,240.50437527090827
1961,239.89445301439488,240.1969643454282,240.05553147575637,240.10587120024854,240.12857186574627,240.3002059651945,239.92936746096956,240.51467269638135
1962,238.59612946541552,239.5900091104832,238.34215108394952,239.65295086352856,238.65166977760103,239.80623385568416,238.76514051837898,239.66435814900674
1963,238.96299282299967,239.95858850979394,238.57912426777534,239.61042403624472,239.07269656880305,239.8396741836814,238.79314064911208,239.8087135777308
1964,240.10962694793702,239.62489030337477,239.70709792518588,239.40659751324864,240.17568082070443,239.19237210758772,239.96871771561177,239.49411044834542
1965,240.16055933201784,240.25339248724404,240.21066051152306,240.28561898035693,240.26876945113963,240.1983251499484,239.95775625774675,240.27307552407197
1966,240.0249993032578,239.85073623735687,239.91655056657356,240.1392915574145,240.0195187981164,240.21244332712672,239.7629278359719,239.9872027560607
1967,240.22779083796593,239.79185085342417,240.15802617779883,239.92705746650412,240.34806280073897,239.77086623378057,240.1340730263812,239.91742571528852
1968,240.20872105038353,240.4234455776279,239.88929693040484,240.5200720398236,239.92054930489763,240.61214012448505,239.9404479167345,240.85235039996653
1969,239.65640070161754,240.15779864849986,239.7269164264663,239.94605524400455,239.35964385644647,240.1891629602675,239.62123653558777,240.3477391685533
1970,239.32032745497548,239.27631624311277,239.5182625341047,239.14310081769773,239.5278737874519,239.43272856216123,239.52484671246052,239.14842515967266
1971,240.27427982246556,239.67676192238346,240.45595652408107,239.4290231095135,240.13318281421843,239.82147673496578,240.0662044059716,239.7898306642471
1972,239.60758020877572,240.38352357285936,239.93267062387056,240.1136564313478,239.57462552874352,240.3657195737146,239.76038946271785,240.2224129191368
1973,239.85722956397237,239.44221769783556,239.7522243759187,239.56338502913553,239.75940339443125,239.3874021679008,239.7547372141661,239.2091360431572
1974,239.8985090651949,238.99117885717925,239.56581354902258,239.0058017156926,239.57415578404476,239.07687984466682,239.43538743827693,238.90151439629543
1975,240.1386428603253,239.4158613098789,240.1112427168649,239.12058487673835,240.12994658518463,239.28034752530718,240.10087998389247,239.25842736475624
1976,240.09702119635242,239.82719999444151,239.90738218858885,239.77578261084656,240.4892877116614,239.85514237248228,240.35410733868912,240.03736485605393
1977,239.93058526800564,239.66048749213502,240.04109693436413,239.7060793530767,240.12330883301306,239.82554650466568,240.20992307377966,239.82701609381203
1978,240.5325734710545,239.70723664272484,240.4957764484779,239.88068416801772,240.56907213007494,239.72764792245454,240.66019186497167,239.59051470310465
1979,240.13018473820594,239.90209660257224,239.96181417488773,239.67618532603205,240.16786457567272,239.84488117557464,240.25822930183818,239.87711393673288
1980,240.05287113122827,239.87955982723514,240.03424116125643,239.47364047511653,240.03362792851775,239.68627520274333,240.1365560955152,239.5841560902537
1981,239.3536532334849,239.6099769433463,239.13430550674767,239.26812553357036,239.13520204118535,239.54458637367247,239.2514954975178,239.85103975615766
1982,238.82375496031753,239.52225544967467,238.89938333590462,239.54324890547184,239.19074183488596,239.6366101626046,239.1138112987689,239.750707273629
1983,239.91657803577442,239.43258138671928,239.71704584927687,239.2259843381148,239.63785781815233,239.63082063277423,239.53623395501702,239.10834284552507
1984,239.7011726243656,239.51965817763931,239.6101089610113,239.4325616176021,239.73780135705076,239.36714369877186,239.6299196498003,239.30419844468034
1985,239.56240003575957,239.4159262785581,239.72224039358866,239.41711041272686,240.00805788434857,239.5859666608105,239.72225256334403,239.59117922859755
1986,239.8888301256132,240.0110716754753,239.54593493323554,239.85546560211128,239.7167619603843,239.98113031754795,239.8465198840214,239.8067840446247
1987,239.53195735368612,239.927530241615,239.3630293153219,239.8190694848817,239.32911253730884,240.06480480603844,239.62819750598916,239.9250920506074
1988,240.02274081237488,239.58125329186964,240.19038208900596,239.62931408873226,240.08880418713355,239.38968099734964,240.09485110801856,239.73675768370293
1989,239.9269400508751,239.80143485802245,240.1055460223724,239.93545127157566,240.29362115802903,239.7012302536986,239.9578643761053,239.85047347582244
1990,238.54329364498997,239.35720106794054,238.8827340362864,239.40518142379324,238.53824401355706,239.4358347033742,238.52287886103164,239.585477292707
1991,237.35047594265882,238.3387060560434,237.3945976717276,238.24880702591997,237.0103931646799,238.0218500449664,237.18351410143293,238.5202474624483
1992,238.7563261785524,238.98684881473406,238.99675230623166,238.45153046825547,238.87643743688034,238.81966308797774,239.00418370184053,238.7590701992502
1993,239.5485026064146,239.55680111719647,239.6429099089482,239.53398752588436,239.50548091748382,239.50270741862445,239.58276105205408,239.91580609046514
1994,239.7064334202963,239.61043439193156,239.38586367244204,239.65765772274773,239.80286942498336,239.60513970033625,239.61073085859766,239.4961879268368
1995,239.65485745643596,239.58057744211513,239.61030609204218,239.57178488556536,239.7669861874319,239.43662873746297,239.82927465350855,239.68005138931952
1996,240.35539307718167,239.63091639865172,240.5103124005371,239.68501140780234,240.22824579194668,239.1938422148561,240.4529437880991,239.76211205585906
1997,239.2708369467681,240.4355060341399,239.64092808106614,240.44472123649112,239.67805929955028,240.58123157058398,239.5568329407199,240.4591524593721
1998,239.68555331333147,239.74394604094243,239.89966404534042,239.85544388385944,239.7900797962712,239.80184030341837,239.98888242146262,239.62369648226382
1999,240.36086611263462,239.63538599926844,240.06337514607412,239.83472406596076,240.38415313620308,239.81601729768357,240.27840778526758,239.76562527818538
2000,240.3367049902295,239.9610192474082,240.0893720936279,239.84799838366365,240.32047987730195,239.81224558246547,240.3726925944959,239.72847612675383
2001,239.94488636205665,240.1401284930393,239.5931010455363,239.95115019609227,239.90710904511474,240.01240992543222,239.49124422420803,240.04905282943733
2002,240.04091236844343,240.07300544799395,239.63334569817732,240.32466296650182,239.6699151343993,239.85600768295615,239.8360411281465,240.3756127487388
2003,240.16692257600505,239.92354425310734,240.29395473217627,240.0504255411399,240.08102404514307,240.12060576206434,240.28622525560291,240.12832960827643
2004,239.73591992349665,240.01914881805257,239.83105621543825,239.6878523214236,239.90501260545298,240.28198859203903,239.8269376126524,239.95684009985098
2005,239.9615915968213,239.76991435392554,239.89636525458832,240.0609128684256,239.96576431641878,239.90087349470562,239.9023964506235,239.8423432179172
2006,239.4716084479804,239.7105204229205,239.27217499750608,239.81341909608358,239.58862418073767,240.13323854732397,239.55088815275022,239.83027948095025
2007,240.43496785552466,239.37217114083808,239.9349124198828,239.28380164101142,240.2194694608395,239.41858004898828,239.91297433406262,239.15873616681557
2008,239.93070160140928,239.40607561788087,239.97251082482836,239.3028583497274,239.96218265636034,239.4873972574204,240.10123226999156,239.47544245646824
2009,239.54840376059587,239.9042226420308,239.3242978656596,240.07840464004454,239.2262793049683,239.9489979429162,239.25045945797658,239.91713280403334
2010,239.68481607930894,239.27516432800644,240.0556937174333,239.45935067693634,239.89334813623907,239.26778429836682,239.71388977542114,239.4589222200583
2011,240.13503442286006,239.78617201136643,239.9710078553878,239.61689110473844,240.31591395047235,239.6476943089261,239.91620746957415,239.68060665101902
2012,240.23318423110499,239.62419828457095,240.0738090728082,239.82485106557735,240.02372712454272,239.97024596967924,239.99181634141536,239.78507803165647
2013,240.1375234320212,240.1195162827207,240.15195258321626,239.90909749718517,240.08593604380744,240.11264299499183,240.15040081212717,239.68235979398492
2014,246.63906760005773,237.93563257635773,247.06336831593399,238.46630651259164,245.423259499051,239.05342101835953,247.37938192373824,238.41500597330946
